,State,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
12,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
13,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
14,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
15,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
16,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
17,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
18,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
19,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
20,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
21,Missouri,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
35,Missouri,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
36,Missouri,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
37,Missouri,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
38,Missouri,12/10/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
39,Missouri,12/10/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
40,Missouri,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
41,Missouri,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
42,Missouri,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
43,Missouri,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
52,Iowa,12/15/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,IA DNR
73,Missouri,12/9/2025,12/19/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
74,Missouri,12/9/2025,12/19/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
75,Missouri,12/9/2025,12/19/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
76,Missouri,12/9/2025,12/19/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
77,Missouri,12/9/2025,12/19/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
78,Michigan,12/13/2025,12/19/2025,EA H5,Duck (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
98,Kentucky,12/4/2025,12/19/2025,EA H5,Ross's goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
99,Kentucky,12/4/2025,12/19/2025,EA H5,Ross's goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
108,Indiana,12/8/2025,12/19/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,IN DNR
118,Minnesota,12/14/2025,12/18/2025,EA H5,American crow,Wild bird,Morbidity/Mortality,Private (non-government) submission
122,Minnesota,12/8/2025,12/18/2025,EA H5,Rough-legged hawk,Wild bird,Morbidity/Mortality,Private (non-government) submission
123,Wisconsin,12/5/2025,12/18/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,WI DNR
126,Indiana,12/8/2025,12/18/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,IA DNR
127,Indiana,12/8/2025,12/18/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,IA DNR
128,Indiana,12/8/2025,12/18/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,IA DNR
131,Ohio,11/15/2025,12/18/2025,EA H5,American wigeon,Wild bird,Hunter harvest,Ohio State University
132,Ohio,11/15/2025,12/18/2025,EA H5,Northern pintail,Wild bird,Hunter harvest,Ohio State University
133,Ohio,11/15/2025,12/18/2025,EA H5,American black duck,Wild bird,Hunter harvest,Ohio State University
134,Ohio,11/15/2025,12/18/2025,EA H5,American black duck,Wild bird,Hunter harvest,Ohio State University
135,Ohio,11/15/2025,12/18/2025,EA H5,Mallard,Wild bird,Hunter harvest,Ohio State University
136,Ohio,11/15/2025,12/18/2025,EA H5,Northern pintail,Wild bird,Hunter harvest,Ohio State University
137,Ohio,11/15/2025,12/18/2025,EA H5,Northern pintail,Wild bird,Hunter harvest,Ohio State University
138,Ohio,11/15/2025,12/18/2025,EA H5,Northern pintail,Wild bird,Hunter harvest,Ohio State University
139,Ohio,11/15/2025,12/18/2025,EA H5,Mallard,Wild bird,Hunter harvest,Ohio State University
140,Ohio,11/15/2025,12/18/2025,EA H5,Mallard,Wild bird,Hunter harvest,Ohio State University
141,Ohio,11/15/2025,12/18/2025,EA H5,American black duck,Wild bird,Hunter harvest,Ohio State University
142,Ohio,11/15/2025,12/18/2025,EA H5,Mallard,Wild bird,Hunter harvest,Ohio State University
143,Ohio,11/15/2025,12/18/2025,EA H5,Northern pintail,Wild bird,Hunter harvest,Ohio State University
201,Wisconsin,12/7/2025,12/17/2025,EA H5,Tundra swan,Wild bird,Morbidity/Mortality,NWDP
202,Wisconsin,12/6/2025,12/17/2025,EA H5,Tundra swan,Wild bird,Morbidity/Mortality,NWDP
214,Indiana,12/8/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
215,Indiana,12/6/2025,12/17/2025,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
216,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
217,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
218,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
219,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
220,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
221,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
222,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
223,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
224,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
225,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
226,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
227,Indiana,12/6/2025,12/17/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
