,State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
12,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
13,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
14,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
15,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
16,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
17,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
18,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
19,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
20,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
21,Missouri,Saline,12/4/2025,12/23/2025,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
35,Missouri,Morgan,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
36,Missouri,Jackson,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
37,Missouri,Jackson,12/10/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
38,Missouri,Clay,12/10/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
39,Missouri,Clay,12/10/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
40,Missouri,St. Louis,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
41,Missouri,St. Louis,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
42,Missouri,St. Louis,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
43,Missouri,St. Louis,12/8/2025,12/23/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,MO Dept of Conservation
52,Iowa,Story,12/15/2025,12/23/2025,EA H5,Canada goose,Wild bird,Morbidity/Mortality,IA DNR
73,Missouri,Dunklin,12/9/2025,12/19/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
74,Missouri,Dunklin,12/9/2025,12/19/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
75,Missouri,Dunklin,12/9/2025,12/19/2025,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
76,Missouri,Dunklin,12/9/2025,12/19/2025,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
77,Missouri,Dunklin,12/9/2025,12/19/2025,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
78,Michigan,Unknown,12/13/2025,12/19/2025,EA H5,Duck (unidentified),Wild bird,Morbidity/Mortality,Private (non-government) submission
98,Kentucky,Henderson,12/4/2025,12/19/2025,EA H5,Ross's goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
99,Kentucky,Warren,12/4/2025,12/19/2025,EA H5,Ross's goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
108,Indiana,Gibson,12/8/2025,12/19/2025,EA H5,Snow goose,Wild bird,Morbidity/Mortality,IN DNR
118,Minnesota,Dakota,12/14/2025,12/18/2025,EA H5,American crow,Wild bird,Morbidity/Mortality,Private (non-government) submission
